word,freq
반전,688
식스센스,235
니콜,169
키드,124
최고,124
생각,83
공포,80
분위기,51
공포영화,49
사람,45
충격,45
소름,44
예상,44
귀신,43
스릴러,37
아더스,34
긴장감,32
스릴,29
재미,26
작품,25
연기력,22
연출,21
별로,21
기억,20
명작,19
당시,18
유령,18
감독,18
수작,17
배우,17
지루함,17
매력,16
극장,16
미모,15
긴장,15
나름,15
몰입도,15
개인,15
자체,15
식스,15
센스,15
하인,14
지루,14
장면,13
영화관,13
이해,12
예측,12
비교,12
우리,12
몰입,11
감상,11
엄마,10
류작,10
얘기,9
만하,9
감탄,9
남편,9
추천,9
만점,9
사실,8
발상,8
아이,8
인생,8
상치,8
압권,8
깜짝,8
뭔가,8
기대,7
인상,7
소재,7
배경,7
안보,7
와우,7
시간,7
지도,7
구성,7
심리,7
시스,6
마음,6
요즘,6
누구,6
뒤통수,6
세상,6
머리,6
고풍,6
후회,6
이상,6
예전,6
미스터리,6
주인공,6
강추,6
눈치,6
아무,6
음악,6
공포물,5
시나리오,5
전개,5
존재,5
시절,5
장난,5
